state,abbreviation,2018,2020
Alabama,AL,R+27,R+27
Alaska,AK,R+15,R+16
Arizona,AZ,R+9,R+8
Arkansas,AR,R+24,R+26
California,CA,D+24,D+22
Colorado,CO,D+1,R+0
Connecticut,CT,D+11,D+10
Delaware,DE,D+14,D+12
Florida,FL,R+5,R+6
Georgia,GA,R+12,R+13
Hawaii,HI,D+36,D+36
Idaho,ID,R+35,R+33
Illinois,IL,D+13,D+13
Indiana,IN,R+18,R+17
Iowa,IA,R+6,R+9
Kansas,KS,R+23,R+21
Kentucky,KY,R+23,R+24
Louisiana,LA,R+17,R+19
Maine,ME,D+5,D+3
Maryland,MD,D+23,D+23
Massachusetts,MA,D+29,D+23
Michigan,MI,D+1,D+6
Minnesota,MN,D+2,D+1
Mississippi,MS,R+15,R+15
Missouri,MO,R+19,R+21
Montana,MT,R+18,R+18
Nebraska,NE,R+24,R+25
Nevada,NV,R+1,R+1
NewHampshire,NH,R+2,R+1
NewJersey,NJ,D+13,D+11
NewMexico,NM,D+7,D+8
NewYork,NY,D+22,D+22
NorthCarolina,NC,R+5,R+4
NorthDakota,ND,R+33,R+34
Ohio,OH,R+7,R+6
Oklahoma,OK,R+34,R+33
Oregon,OR,D+9,D+7
Pennsylvania,PA,R+1,R+1
RhodeIsland,RI,D+26,D+24
SouthCarolina,SC,R+17,R+16
SouthDakota,SD,R+31,R+28
Tennessee,TN,R+28,R+28
Texas,TX,R+17,R+17
Utah,UT,R+31,R+30
Vermont,VT,D+24,D+24
Virginia,VA,D+0,D+7
Washington,WA,D+12,D+15
WestVirginia,WV,R+30,R+33
Wisconsin,WI,R+1,R+3
Wyoming,WY,R+47,R+45